e2
17
13
18
21
19
14
17
17
22
24
16
20
25
21
24
25
25
26
27
27
32
32
36
34
34
39
37
34
40
35
21
26
29
22
26
31
29
30
31
32
20
23
23
24
18
0
23
21
24
20
20
13
19
19
23
20
24
22
23
24
25
22
19
24
26
22
17
25
24
27
20
18
21
19
19
17
19
18
18
19
20
23
24
24
24
28
18
25
26
28
20
25
25
28
26
27
27
23
23
23
25
23
25
23
22
26
28
22
30
24
0
23
25
28
26
26
35
32
28
32
18
19
17
18
22
23
25
21
22
19
25
29
29
33
28
36
34
33
33
33
20
27
28
23
26
27
26
26
28
29
24
23
24
26
26
22
26
29
28
31
24
28
31
26
27
31
31
30
32
27
26
24
26
22
26
24
25
24
0
26
17
19
24
20
21
19
22
23
23
21
20
26
23
26
27
26
29
27
32
28
0
0
0
0
0
0
0
0
0
0
25
27
27
28
29
26
33
30
29
31
24
26
26
23
28
24
27
28
23
26
21
25
22
24
25
27
27
24
29
23
24
28
28
30
33
31
34
33
34
32
23
22
24
25
26
25
24
26
26
22
15
22
28
24
26
26
22
24
25
25
27
23
28
29
24
29
24
26
26
28
30
29
27
36
0
0
0
34
0
0
31
32
38
33
35
33
34
35
33
39
28
31
31
27
32
30
31
32
28
34
15
19
19
23
27
22
20
21
21
21
25
23
28
29
26
33
26
30
28
31
19
22
21
26
24
22
29
26
29
28
18
16
21
18
22
17
20
24
20
20
21
16
12
16
15
16
18
14
16
19
26
25
26
25
29
25
31
27
33
33
34
28
33
35
34
35
33
32
36
35
17
22
21
24
23
22
23
22
24
28
21
20
20
24
21
25
20
18
26
23
13
21
18
20
16
17
24
18
22
21
20
23
26
22
26
23
26
24
26
29
26
26
26
25
25
20
24
24
26
28
20
25
22
21
27
32
23
24
27
28
17
17
18
22
20
24
20
23
28
22
19
22
26
25
24
27
23
28
26
24
25
27
24
26
19
25
23
22
26
24
25
22
29
29
25
29
29
31
30
32
25
28
26
23
23
19
23
31
27
25
19
17
20
20
19
21
22
22
24
23
27
26
29
32
31
29
29
32
33
33
25
25
28
31
28
30
25
30
29
33
23
24
31
27
30
29
34
29
29
29
2
11
20
24
23
32
27
25
25
28
17
19
18
19
21
17
21
14
18
18
22
28
27
26
28
27
32
30
31
30
32
32
31
30
31
29
33
35
29
33
23
26
22
30
31
29
32
31
31
31
18
20
23
30
31
30
24
26
31
29
32
33
30
25
35
29
33
31
31
30
